value,date
127299,01-01-1952
127517,01-02-1952
127721,01-03-1952
127933,01-04-1952
128130,01-05-1952
128333,01-06-1952
128543,01-07-1952
128788,01-08-1952
129043,01-09-1952
129296,01-10-1952
129441,01-11-1952
129747,01-12-1952
129963,01-01-1953
130160,01-02-1953
130339,01-03-1953
130546,01-04-1953
130735,01-05-1953
130946,01-06-1953
131174,01-07-1953
131439,01-08-1953
131708,01-09-1953
131968,01-10-1953
132213,01-11-1953
132443,01-12-1953
132680,01-01-1954
132902,01-02-1954
133114,01-03-1954
133340,01-04-1954
133554,01-05-1954
133780,01-06-1954
134016,01-07-1954
134280,01-08-1954
134560,01-09-1954
134837,01-10-1954
135097,01-11-1954
135339,01-12-1954
135578,01-01-1955
135799,01-02-1955
136008,01-03-1955
136241,01-04-1955
136453,01-05-1955
136685,01-06-1955
136921,01-07-1955
137182,01-08-1955
137463,01-09-1955
137745,01-10-1955
138013,01-11-1955
138260,01-12-1955
138503,01-01-1956
138736,01-02-1956
138967,01-03-1956
139211,01-04-1956
139426,01-05-1956
139649,01-06-1956
139893,01-07-1956
140181,01-08-1956
140478,01-09-1956
140770,01-10-1956
141053,01-11-1956
141305,01-12-1956
141561,01-01-1957
141796,01-02-1957
142019,01-03-1957
142261,01-04-1957
142491,01-05-1957
142731,01-06-1957
142974,01-07-1957
143247,01-08-1957
143528,01-09-1957
143806,01-10-1957
144060,01-11-1957
144288,01-12-1957
144523,01-01-1958
144736,01-02-1958
144935,01-03-1958
145166,01-04-1958
145387,01-05-1958
145629,01-06-1958
145872,01-07-1958
146133,01-08-1958
146403,01-09-1958
146687,01-10-1958
146956,01-11-1958
147197,01-12-1958
147437,01-01-1959
147675,01-02-1959
147895,01-03-1959
148136,01-04-1959
148355,01-05-1959
148581,01-06-1959
148820,01-07-1959
149091,01-08-1959
149366,01-09-1959
149647,01-10-1959
149911,01-11-1959
150143,01-12-1959
150376,01-01-1960
150587,01-02-1960
150778,01-03-1960
150997,01-04-1960
151212,01-05-1960
151434,01-06-1960
151661,01-07-1960
151935,01-08-1960
152228,01-09-1960
152518,01-10-1960
152786,01-11-1960
153032,01-12-1960
153277,01-01-1961
153510,01-02-1961
153732,01-03-1961
153982,01-04-1961
154207,01-05-1961
154442,01-06-1961
154681,01-07-1961
154948,01-08-1961
155233,01-09-1961
155514,01-10-1961
155773,01-11-1961
156006,01-12-1961
156232,01-01-1962
156442,01-02-1962
156640,01-03-1962
156864,01-04-1962
157077,01-05-1962
157304,01-06-1962
157528,01-07-1962
157780,01-08-1962
158048,01-09-1962
158313,01-10-1962
158564,01-11-1962
158786,01-12-1962
159003,01-01-1963
159203,01-02-1963
159377,01-03-1963
159570,01-04-1963
159780,01-05-1963
160008,01-06-1963
160232,01-07-1963
160486,01-08-1963
160751,01-09-1963
161018,01-10-1963
161255,01-11-1963
161462,01-12-1963
161658,01-01-1964
161848,01-02-1964
162037,01-03-1964
162235,01-04-1964
162437,01-05-1964
162656,01-06-1964
162879,01-07-1964
163121,01-08-1964
163366,01-09-1964
163621,01-10-1964
163837,01-11-1964
164029,01-12-1964
164213,01-01-1965
164383,01-02-1965
164530,01-03-1965
164699,01-04-1965
164878,01-05-1965
165077,01-06-1965
165293,01-07-1965
165518,01-08-1965
165751,01-09-1965
165987,01-10-1965
166185,01-11-1965
166362,01-12-1965
166529,01-01-1966
166678,01-02-1966
166821,01-03-1966
166989,01-04-1966
167168,01-05-1966
167362,01-06-1966
167550,01-07-1966
167752,01-08-1966
167974,01-09-1966
168197,01-10-1966
168388,01-11-1966
168562,01-12-1966
168726,01-01-1967
168882,01-02-1967
169027,01-03-1967
169196,01-04-1967
169353,01-05-1967
169527,01-06-1967
169702,01-07-1967
169901,01-08-1967
170103,01-09-1967
170301,01-10-1967
170488,01-11-1967
170647,01-12-1967
170798,01-01-1968
170910,01-02-1968
171046,01-03-1968
171198,01-04-1968
171351,01-05-1968
171526,01-06-1968
171696,01-07-1968
171888,01-08-1968
172085,01-09-1968
172280,01-10-1968
172456,01-11-1968
172611,01-12-1968
172750,01-01-1969
172871,01-02-1969
173013,01-03-1969
173151,01-04-1969
173321,01-05-1969
173497,01-06-1969
173667,01-07-1969
173867,01-08-1969
174080,01-09-1969
174292,01-10-1969
174490,01-11-1969
174665,01-12-1969
174839,01-01-1970
174998,01-02-1970
175146,01-03-1970
175391,01-04-1970
175597,01-05-1970
175820,01-06-1970
176042,01-07-1970
176285,01-08-1970
176530,01-09-1970
176778,01-10-1970
177014,01-11-1970
177228,01-12-1970
177456,01-01-1971
177658,01-02-1971
177845,01-03-1971
178055,01-04-1971
178250,01-05-1971
178452,01-06-1971
178651,01-07-1971
178871,01-08-1971
179104,01-09-1971
179335,01-10-1971
179545,01-11-1971
179730,01-12-1971
179907,01-01-1972
180051,01-02-1972
180202,01-03-1972
180376,01-04-1972
180535,01-05-1972
180715,01-06-1972
180886,01-07-1972
181065,01-08-1972
181268,01-09-1972
181469,01-10-1972
181646,01-11-1972
181811,01-12-1972
181975,01-01-1973
182110,01-02-1973
182244,01-03-1973
182410,01-04-1973
182567,01-05-1973
182736,01-06-1973
182899,01-07-1973
183082,01-08-1973
183279,01-09-1973
183465,01-10-1973
183624,01-11-1973
183775,01-12-1973
183922,01-01-1974
184064,01-02-1974
184201,01-03-1974
184351,01-04-1974
184503,01-05-1974
184676,01-06-1974
184844,01-07-1974
185032,01-08-1974
185236,01-09-1974
185441,01-10-1974
185615,01-11-1974
185772,01-12-1974
185921,01-01-1975
186055,01-02-1975
186188,01-03-1975
186343,01-04-1975
186513,01-05-1975
186758,01-06-1975
186963,01-07-1975
187185,01-08-1975
187383,01-09-1975
187577,01-10-1975
187761,01-11-1975
187921,01-12-1975
188085,01-01-1976
188239,01-02-1976
188371,01-03-1976
188518,01-04-1976
188675,01-05-1976
188851,01-06-1976
189025,01-07-1976
189223,01-08-1976
189430,01-09-1976
189634,01-10-1976
189824,01-11-1976
189996,01-12-1976
190169,01-01-1977
190334,01-02-1977
190494,01-03-1977
190674,01-04-1977
190849,01-05-1977
191036,01-06-1977
191229,01-07-1977
191448,01-08-1977
191678,01-09-1977
191894,01-10-1977
192099,01-11-1977
192293,01-12-1977
192467,01-01-1978
192619,01-02-1978
192782,01-03-1978
192981,01-04-1978
193166,01-05-1978
193369,01-06-1978
193575,01-07-1978
193795,01-08-1978
194043,01-09-1978
194261,01-10-1978
194467,01-11-1978
194660,01-12-1978
194855,01-01-1979
195043,01-02-1979
195225,01-03-1979
195428,01-04-1979
195622,01-05-1979
195833,01-06-1979
196045,01-07-1979
196285,01-08-1979
196537,01-09-1979
196791,01-10-1979
197017,01-11-1979
197233,01-12-1979
197441,01-01-1980
197646,01-02-1980
197839,01-03-1980
198051,01-04-1980
198241,01-05-1980
198512,01-06-1980
198716,01-07-1980
198943,01-08-1980
199176,01-09-1980
199407,01-10-1980
199602,01-11-1980
199769,01-12-1980
199927,01-01-1981
200061,01-02-1981
200214,01-03-1981
200393,01-04-1981
200565,01-05-1981
200751,01-06-1981
200956,01-07-1981
201177,01-08-1981
201402,01-09-1981
201631,01-10-1981
201812,01-11-1981
201979,01-12-1981
202147,01-01-1982
202303,01-02-1982
202460,01-03-1982
202635,01-04-1982
202799,01-05-1982
202982,01-06-1982
203178,01-07-1982
203382,01-08-1982
203589,01-09-1982
203806,01-10-1982
203983,01-11-1982
204150,01-12-1982
204312,01-01-1983
204463,01-02-1983
204603,01-03-1983
204771,01-04-1983
204912,01-05-1983
205108,01-06-1983
205297,01-07-1983
205491,01-08-1983
205691,01-09-1983
205897,01-10-1983
206068,01-11-1983
206225,01-12-1983
206375,01-01-1984
206517,01-02-1984
206665,01-03-1984
206829,01-04-1984
206983,01-05-1984
207150,01-06-1984
207338,01-07-1984
207539,01-08-1984
207750,01-09-1984
207966,01-10-1984
208149,01-11-1984
208306,01-12-1984
208458,01-01-1985
208592,01-02-1985
208722,01-03-1985
208890,01-04-1985
209064,01-05-1985
209260,01-06-1985
209456,01-07-1985
209669,01-08-1985
209888,01-09-1985
210103,01-10-1985
210297,01-11-1985
210467,01-12-1985
210628,01-01-1986
210778,01-02-1986
210918,01-03-1986
211084,01-04-1986
211261,01-05-1986
211449,01-06-1986
211641,01-07-1986
211844,01-08-1986
212058,01-09-1986
212264,01-10-1986
212457,01-11-1986
212610,01-12-1986
212774,01-01-1987
212920,01-02-1987
213069,01-03-1987
213242,01-04-1987
213413,01-05-1987
213598,01-06-1987
213794,01-07-1987
214002,01-08-1987
214213,01-09-1987
214436,01-10-1987
214629,01-11-1987
214799,01-12-1987
214971,01-01-1988
215121,01-02-1988
215269,01-03-1988
215435,01-04-1988
215600,01-05-1988
215796,01-06-1988
216011,01-07-1988
216230,01-08-1988
216454,01-09-1988
216683,01-10-1988
216874,01-11-1988
217046,01-12-1988
217214,01-01-1989
217368,01-02-1989
217520,01-03-1989
217711,01-04-1989
